연번,설치주소,설치형태,등용량(W),데이터 기준일,위도,경도
1993,구로구 신도림동 291-114,벽부형,25,2025-11-28,37.5085427,126.8782771
1994,구로구 신도림동 291-124,한전주,50,2025-11-28,37.5083454,126.8778518
1995,구로구 신도림동 291-128,한전주,25,2025-11-28,37.5086281,126.8778102
1996,구로구 신도림동 291-129,벽부형,50,2025-11-28,37.5085474,126.8777428
1997,구로구 신도림동 291-132,한전주,50,2025-11-28,37.5084397,126.8776542
1998,구로구 신도림동 291-153,한전주,50,2025-11-28,37.5086360,126.8772275
1999,구로구 신도림동 291-154,한전주,50,2025-11-28,37.5086917,126.8771059
2000,구로구 신도림동 291-165,한전주,25,2025-11-28,37.5087895,126.8768941
2001,구로구 신도림동 291-177,벽부형,50,2025-11-28,37.5088485,126.8767767
2002,구로구 신도림동 291-177,한전주,50,2025-11-28,37.5088485,126.8767767
2003,구로구 신도림동 291-178,한전주,50,2025-11-28,37.5081577,126.8778996
2004,구로구 신도림동 291-182,한전주,50,2025-11-28,37.5078343,126.8777346
2005,구로구 신도림동 291-184,한전주,50,2025-11-28,37.5080571,126.8776792
2006,구로구 신도림동 291-23,벽부형,25,2025-11-28,37.5087157,126.8784426
2007,구로구 신도림동 291-56,한전주,50,2025-11-28,37.5087779,126.8774983
2008,구로구 신도림동 291-64,한전주,50,2025-11-28,37.5088875,126.8772543
2009,구로구 신도림동 291-68,한전주,25,2025-11-28,37.5090785,126.8771889
2010,구로구 신도림동 291-78,한전주,50,2025-11-28,37.5092467,126.8769522
2011,구로구 신도림동 291-80,한전주,50,2025-11-28,37.5091503,126.8770379
2012,구로구 신도림동 291-86,한전주,25,2025-11-28,37.5090233,126.8768145
2013,구로구 신도림동 291-96,한전주,50,2025-11-28,37.5083725,126.8783259
2014,구로구 신도림동 292-105,한전주,50,2025-11-28,37.5086874,126.8787397
2015,구로구 신도림동 292-112,한전주,50,2025-11-28,37.5089319,126.8785893
2016,구로구 오류동 310-9,한전주,50,2025-11-28,37.4869194,126.8296882
2017,구로구 신도림동 292-121,벽부형,50,2025-11-28,37.5089693,126.8784910
2018,구로구 신도림동 292-127,한전주,50,2025-11-28,37.5088143,126.8782347
2019,구로구 신도림동 292-133,벽부형,50,2025-11-28,37.5089435,126.8780580
2020,구로구 신도림동 292-153,한전주,50,2025-11-28,37.5089752,126.8776534
2021,구로구 신도림동 292-172,벽부형,20,2025-11-28,37.5104277,126.8786052
2022,구로구 신도림동 292-177,벽부형,50,2025-11-28,37.5100745,126.8784429
2023,구로구 신도림동 292-179,한전주,50,2025-11-28,37.5102733,126.8784610
2024,구로구 신도림동 292-183,한전주,50,2025-11-28,37.5106390,126.8784984
2025,구로구 신도림동 292-185,벽부형,25,2025-11-28,37.5108505,126.8783878
2026,구로구 신도림동 292-190,한전주,50,2025-11-28,37.5102779,126.8783594
2027,구로구 신도림동 292-191,벽부형,25,2025-11-28,37.5101821,126.8783497
