등번호,위도값,경도값
천호2동558,37.5424962,127.1292134
천호2동559,37.5422892,127.1292497
천호2동560,37.5420285,127.129332
천호2동561,37.542322,127.128808
천호2동562,37.5421509,127.1288213
천호2동563,37.5425638,127.1286128
천호2동564,37.5421402,127.1285951
천호2동565,37.5419508,127.1285634
천호2동566,37.5418245,127.1285422
천호2동567,37.5426162,127.1283859
천호2동576,37.5427674,127.1281125
천호2동577,37.5428831,127.1279188
천호2동578,37.5430727,127.1279619
천호2동591,37.5430783,127.1275092
천호2동592,37.54313345,127.1272114
천호2동597,37.5432357,127.1268623
천호2동603,37.542748,127.1254874
천호2동604,37.5428496,127.1258257
천호2동520,37.5435732,127.1310907
천호2동522,37.5434628,127.1307751
천호2동523,37.5437605,127.1308169
천호2동524,37.543867,127.1306007
천호2동525,37.5439544,127.1302375
천호2동526,37.544053,127.1301685
천호2동527,37.5437634,127.1299908
천호2동530,37.5435646,127.1299139
천호2동531,37.5433109,127.1297244
천호2동532,37.5431943,127.1297937
천호2동533,37.5429773,127.1296944
천호2동534,37.5429068,127.1299102
천호2동535,37.5428508,127.1296506
천호2동536,37.5427146,127.129505
천호2동537,37.5425529,127.1295748
천호2동538,37.542545,127.129722
천호2동539,37.5425662,127.1301518
천호2동540,37.5428822,127.1302386
천호2동541,37.5430996,127.1303946
천호2동542,37.5424768,127.1302547
천호2동543,37.5425141,127.130424
천호2동545,37.5427944,127.1305565
천호2동546,37.5428848,127.1305894
천호2동547,37.5428957,127.1308496
천호2동548,37.5430922,127.130621
천호2동549,37.5425072,127.1294848
천호2동550,37.5422553,127.129533
천호2동551,37.541976,127.1295476
천호2동552,37.5417775,127.1295046
천호2동553,37.5417732,127.1289275
천호2동407,37.5396581,127.12558
천호2동408,37.5393077,127.1257199
천호2동409,37.5396242,127.1258746
천호2동410,37.5397689,127.1259409
천호2동411,37.5400671,127.1260619
천호2동412,37.540302,127.1261383
천호2동413,37.5404555,127.1261818
천호2동414,37.5398664,127.1257247
천호2동416,37.5400704,127.125281
천호2동417,37.5401051,127.1250996
천호2동418,37.5392376,127.1259923
천호2동419,37.5392116,127.1261284
천호2동420,37.5388148,127.1260878
천호2동421,37.5384631,127.1260466
천호2동422,37.5381301,127.1260957
천호2동423,37.5387904,127.1264388
천호2동424,37.5390336,127.1264247
천호2동425,37.5392584,127.1263655
천호2동426,37.5391882,127.1266152
천호2동427,37.5394406,127.1266349
천호2동428,37.539055,127.1268884
천호2동429,37.5389931,127.1270475
천호2동430,37.5418696,127.1248979
천호2동431,37.5418172,127.1251135
천호2동432,37.5417381,127.1253861
천호2동434,37.5420634,127.1255181
천호2동435,37.5423992,127.1258423
천호2동435,37.5423992,127.1258423
천호2동435,37.5423992,127.1258423
천호2동457,37.5414289,127.126227
천호2동459,37.5409427,127.1262666
천호2동493,37.5415691,127.1293486
천호2동494,37.5414923,127.1299266
천호2동495,37.54185569,127.1298258
천호2동501,37.5422004,127.1306539
천호2동502,37.5422985,127.130517
천호2동503,37.5423735,127.1309122
천호2동504,37.5424358,127.1307983
천호2동505,37.5425528,127.1307856
천호2동506,37.54273273,127.131123
천호2동507,37.5429258,127.1312679
천호2동508,37.543077,127.1309946
천호2동509,37.5431837,127.130801
천호2동510,37.5432904,127.1306073
천호2동511,37.5434322,127.1302888
천호2동512,37.5433231,127.1301543
천호2동513,37.5432054,127.1300878
천호2동514,37.5431428,127.1313672
천호2동515,37.5432967,127.1314673
천호2동516,37.5433128,127.1312068
천호2동517,37.5430604,127.1311985
천호2동382,37.5410534,127.1193287
천호2동383,37.540884,127.1195684
천호2동385,37.5406441,127.1200238
천호2동386,37.53929283,127.1252078
천호2동387,37.5416325,127.1196614
천호2동388,37.54152615,127.1198113
천호2동389,37.5417416,127.1197846
천호2동390,37.5418958,127.1199186
천호2동391,37.5416816,127.1201927
천호2동392,37.5415456,127.1200811
천호2동394,37.5395057,127.1244729
천호2동395,37.5392838,127.1249168
천호2동396,37.5393125,127.1251541
천호2동398,37.53984685,127.125302
천호2동399,37.5395302,127.1253439
천호2동400,37.5396656,127.1253763
천호2동402,37.5398302,127.1244917
천호2동403,37.5399193,127.1243549
천호2동405,37.5393224,127.1252671
천호2동406,37.5393955,127.1254021
천호2동351,37.5401533,127.1218853
천호2동352,37.5400526,127.1216715
