관리부서,관리번호,사용목적,소재지지번주소,데이터기준일자,위도,경도
서울특별시 금천구청 도로과,가산동-2023,방범등,"서울특별시 금천구 가산동 32-49,50",2025-06-17,37.4839088,126.8821560
서울특별시 금천구청 도로과,가산동-2024,방범등,서울특별시 금천구 가산동 32-47,2025-06-17,37.4840391,126.8823473
서울특별시 금천구청 도로과,가산동-2025,방범등,서울특별시 금천구 가산동 32-45,2025-06-17,37.4841686,126.8825385
서울특별시 금천구청 도로과,가산동-2026,방범등,서울특별시 금천구 가산동 32-84,2025-06-17,37.4841830,126.8827527
서울특별시 금천구청 도로과,가산동-2027,방범등,서울특별시 금천구 가산동 32-54,2025-06-17,37.4842580,126.8828628
서울특별시 금천구청 도로과,가산동-2028,방범등,서울특별시 금천구 가산동 33-2,2025-06-17,37.4840880,126.8831493
서울특별시 금천구청 도로과,가산동-2029,방범등,서울특별시 금천구 가산동 32-62,2025-06-17,37.4841892,126.8829037
서울특별시 금천구청 도로과,가산동-203,방범등,서울특별시 금천구 가산동 4-6,2025-06-17,37.4850468,126.8816451
서울특별시 금천구청 도로과,가산동-2030,방범등,"서울특별시 금천구 가산동 32-77,78",2025-06-17,37.4840768,126.8827360
서울특별시 금천구청 도로과,가산동-2031,방범등,서울특별시 금천구 가산동 32-79,2025-06-17,37.4839447,126.8825524
서울특별시 금천구청 도로과,가산동-2032,방범등,서울특별시 금천구 가산동 35-20,2025-06-17,37.4833809,126.8826686
서울특별시 금천구청 도로과,가산동-2033,방범등,서울특별시 금천구 가산동 34-85,2025-06-17,37.4835696,126.8824631
서울특별시 금천구청 도로과,가산동-2034,방범등,서울특별시 금천구 가산동 34-86,2025-06-17,37.4835363,126.8822229
서울특별시 금천구청 도로과,가산동-2035,방범등,서울특별시 금천구 가산동 34-90,2025-06-17,37.4835457,126.8823089
서울특별시 금천구청 도로과,가산동-2036,방범등,서울특별시 금천구 가산동 35-1,2025-06-17,37.4833315,126.8824126
서울특별시 금천구청 도로과,가산동-2037,방범등,서울특별시 금천구 가산동 35-12,2025-06-17,37.4831486,126.8825003
서울특별시 금천구청 도로과,가산동-2038,방범등,서울특별시 금천구 가산동 38-1,2025-06-17,37.4827637,126.8829167
서울특별시 금천구청 도로과,가산동-2039,방범등,서울특별시 금천구 가산동 34-39,2025-06-17,37.4829939,126.8829255
서울특별시 금천구청 도로과,가산동-204,방범등,서울특별시 금천구 가산동 4-7,2025-06-17,37.4849589,126.8815442
서울특별시 금천구청 도로과,가산동-2040,방범등,서울특별시 금천구 가산동 34-36,2025-06-17,37.4832358,126.8829228
서울특별시 금천구청 도로과,가산동-2041,방범등,서울특별시 금천구 가산동 34-71,2025-06-17,37.4833929,126.8829170
서울특별시 금천구청 도로과,가산동-2042,방범등,서울특별시 금천구 가산동 34-82,2025-06-17,37.4830606,126.8828297
서울특별시 금천구청 도로과,가산동-2043,방범등,서울특별시 금천구 가산동 34-80 (82),2025-06-17,37.4832275,126.8827699
서울특별시 금천구청 도로과,가산동-2044,방범등,서울특별시 금천구 가산동 34-73,2025-06-17,37.4833697,126.8827780
서울특별시 금천구청 도로과,가산동-2045,방범등,서울특별시 금천구 가산동 34-78,2025-06-17,37.4835078,126.8828301
서울특별시 금천구청 도로과,가산동-2046,방범등,서울특별시 금천구 가산동 34-67,2025-06-17,37.4836421,126.8829282
